ID	X1	X2	ROW	COL
1012	1	3	11	4
1013	1	3	11	5
1014	1	3	11	6
1015	1	3	11	7
1016	1	3	11	8
1017	1	3	11	9
1018	1	3	11	10
1019	1	3	11	11
1020	1	3	11	12
1021	1	3	11	13
1022	1	3	11	14
1023	1	3	11	15
1024	1	3	11	16
1025	1	3	11	17
1026	1	3	11	18
1027	1	3	11	19
1028	1	3	11	20
1029	1	3	11	21
1030	1	3	12	1
1031	1	3	12	2
1032	1	3	12	3
1033	1	3	12	4
1034	1	3	12	5
1035	1	3	12	6
1036	1	3	12	7
1037	1	3	12	8
1038	1	3	12	9
1039	1	3	12	10
1040	1	3	12	11
1041	1	3	12	12
1042	1	3	12	13
1043	1	3	12	14
1044	1	3	12	15
1045	1	3	12	16
1046	1	3	12	17
1047	1	3	12	18
1048	1	3	12	19
1049	1	3	12	20
1050	1	3	12	21
1051	1	3	13	1
1052	1	3	13	2
1053	1	3	13	3
1054	1	3	13	4
1055	1	3	13	5
1056	1	3	13	6
1057	1	3	13	7
1058	1	3	13	8
1059	1	3	13	9
1060	1	3	13	10
1061	1	3	13	11
1062	1	3	13	12
1063	1	3	13	13
1064	1	3	13	14
1065	1	3	13	15
1066	1	3	13	16
1067	1	3	13	17
1068	1	3	13	18
1069	1	3	13	19
1070	1	3	13	20
1071	1	3	13	21
1072	1	3	14	1
1073	1	3	14	2
1074	1	3	14	3
1075	1	3	14	4
1076	1	3	14	5
1077	1	3	14	6
1078	1	3	14	7
1079	1	3	14	8
1080	1	3	14	9
1081	1	3	14	10
1082	1	3	14	11
1083	1	3	14	12
1084	1	3	14	13
1085	1	3	14	14
1086	1	3	14	15
1087	1	3	14	16
1088	1	3	14	17
1089	1	3	14	18
1090	1	3	14	19
1091	1	3	14	20
1092	1	3	14	21
1093	1	3	15	1
1094	1	3	15	2
1095	1	3	15	3
1096	1	3	15	4
1097	1	3	15	5
1098	1	3	15	6
1099	1	3	15	7
1100	1	3	15	8
1101	1	3	15	9
1102	1	3	15	10
1103	1	3	15	11
1104	1	3	15	12
1105	1	3	15	13
1106	1	3	15	14
1107	1	3	15	15
1108	1	3	15	16
1109	1	3	15	17
1110	1	3	15	18
1111	1	3	15	19
1112	1	3	15	20
1113	1	3	15	21
1114	1	3	16	1
1115	1	3	16	2
1116	1	3	16	3
1117	1	3	16	4
1118	1	3	16	5
1119	1	3	16	6
1120	1	3	16	7
1121	1	3	16	8
1122	1	3	16	9
1123	1	3	16	10
1124	1	3	16	11
1125	1	3	16	12
1126	1	3	16	13
1127	1	3	16	14
1128	1	3	16	15
1129	1	3	16	16
1130	1	3	16	17
1131	1	3	16	18
1132	1	3	16	19
1133	1	3	16	20
1134	1	3	16	21
1135	1	3	17	1
1136	1	3	17	2
1137	1	3	17	3
1138	1	3	17	4
1139	1	3	17	5
1140	1	3	17	6
1141	1	3	17	7
1142	1	3	17	8
1143	1	3	17	9
1144	1	3	17	10
1145	1	3	17	11
1146	1	3	17	12
1147	1	3	17	13
1148	1	3	17	14
1149	1	3	17	15
1150	1	3	17	16
1151	1	3	17	17
1152	1	3	17	18
1153	1	3	17	19
1154	1	3	17	20
1155	1	3	17	21
1156	1	3	18	1
1157	1	3	18	2
1158	1	3	18	3
1159	1	3	18	4
1160	1	3	18	5
1161	1	3	18	6
1162	1	3	18	7
1163	1	3	18	8
1164	1	3	18	9
1165	1	3	18	10
1166	1	3	18	11
1167	1	3	18	12
1168	1	3	18	13
1169	1	3	18	14
1170	1	3	18	15
1171	1	3	18	16
1172	1	3	18	17
1173	1	3	18	18
1174	1	3	18	19
1175	1	3	18	20
1176	1	3	18	21
1177	1	3	19	1
1178	1	3	19	2
1179	1	3	19	3
1180	1	3	19	4
1181	1	3	19	5
1182	1	3	19	6
1183	1	3	19	7
1184	1	3	19	8
1185	1	3	19	9
1186	1	3	19	10
1187	1	3	19	11
1188	1	3	19	12
1189	1	3	19	13
1190	1	3	19	14
1191	1	3	19	15
1192	1	3	19	16
1193	1	3	19	17
1194	1	3	19	18
1195	1	3	19	19
1196	1	3	19	20
1197	1	3	19	21
1198	1	4	1	1
1199	1	4	1	2
1200	1	4	1	3
1201	1	4	1	4
1202	1	4	1	5
1203	1	4	1	6
1204	1	4	1	7
1205	1	4	1	8
1206	1	4	1	9
1207	1	4	1	10
1208	1	4	1	11
1209	1	4	1	12
1210	1	4	1	13
1211	1	4	1	14
1212	1	4	1	15
1213	1	4	1	16
1214	1	4	1	17
1215	1	4	1	18
1216	1	4	1	19
1217	1	4	1	20
1218	1	4	1	21
1219	1	4	2	1
1220	1	4	2	2
1221	1	4	2	3
1222	1	4	2	4
1223	1	4	2	5
1224	1	4	2	6
1225	1	4	2	7
1226	1	4	2	8
1227	1	4	2	9
1228	1	4	2	10
1229	1	4	2	11
1230	1	4	2	12
1231	1	4	2	13
1232	1	4	2	14
1233	1	4	2	15
1234	1	4	2	16
1235	1	4	2	17
1236	1	4	2	18
1237	1	4	2	19
1238	1	4	2	20
1239	1	4	2	21
1240	1	4	3	1
1241	1	4	3	2
1242	1	4	3	3
1243	1	4	3	4
1244	1	4	3	5
1245	1	4	3	6
1246	1	4	3	7
1247	1	4	3	8
1248	1	4	3	9
1249	1	4	3	10
1250	1	4	3	11
1251	1	4	3	12
1252	1	4	3	13
1253	1	4	3	14
1254	1	4	3	15
1255	1	4	3	16
1256	1	4	3	17
1257	1	4	3	18
1258	1	4	3	19
1259	1	4	3	20
1260	1	4	3	21
1261	1	4	4	1
1262	1	4	4	2
1263	1	4	4	3
1264	1	4	4	4
1265	1	4	4	5
1266	1	4	4	6
1267	1	4	4	7
1268	1	4	4	8
1269	1	4	4	9
1270	1	4	4	10
1271	1	4	4	11
1272	1	4	4	12
1273	1	4	4	13
1274	1	4	4	14
