protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot2152,2.884602794803971,3.3521885322733502,0.5759514425718568,3.178235229972897,2.4977444999055187,0.9999269429434747
Prot963,3.525950042394915,1.7284268684501098,0.8518013929683863,3.689091383518366,2.4488174218329446,0.9373526699525936
Prot683,1.2147513770017753,4.219357740515035,0.9115897930008311,3.4326933379868656,2.4445980621261265,0.9999992481084343
Prot771,0.8979400645366092,4.018051155470913,0.5814271415677496,4.272935584715753,2.442588486572756,0.999974688873438
Prot2102,0.24180611535801322,4.284615126673877,0.3187702001135389,4.875068575291383,2.430065004359203,0.9999853384278462
Prot265,0.7155545954845591,3.99991713264764,0.41643160787319394,4.554818431286155,2.421680441822887,0.9999500148111428
Prot291,0.35872704328099037,3.6314923484354877,0.6637890308951976,4.953570889862102,2.4018948281184445,0.9984655105332223
Prot2491,3.5814809693837146,2.5577744948444776,0.5548889204336693,2.7884840582931494,2.370657110738753,0.9988364365197433
Prot153,0.8022490247959313,3.795205023765233,0.2780598992540071,4.551618492937874,2.3567831101882613,0.9998408406566426
Prot373,2.2579848552251183,2.369703646270182,2.5248922912747833,2.2638314462266997,2.354103059749196,0.9908202652175422
Prot1214,1.8285840589319022,2.2616714943960567,2.152883628450104,2.9090938989533712,2.2880582701828582,0.9241389854970077
Prot2197,0.4351973636374591,3.9708653406642838,0.25643313406556506,4.437514576134114,2.2750026036253557,0.9999583002700986
Prot908,2.948190020471811,2.0982708436615316,0.9864125648140655,2.861185924935787,2.223514838470799,0.9856247001852927
Prot968,0.18361938320881968,2.913426311979957,2.772533088496075,2.9288485809808824,2.1996068411664336,0.9275219820483677
Prot294,0.7855380358960659,3.844281929798542,0.14812731478056745,3.991897408751406,2.192461172306645,0.9999690041297313
Prot205,0.7326387295925992,4.288961925240219,2.0521155518214473,1.655735515935754,2.182362930647505,0.999999998314216
Prot2248,2.896673186710835,2.905579485906905,0.6255169465928981,2.2343629916174135,2.165533152707013,0.9998985711146113
Prot2073,0.20120436490411106,3.044170625623135,2.6903699880570593,2.7185836600538864,2.1635821596595477,0.9722076855255691
Prot1909,0.8647543972054518,3.5840827409161555,2.065309850875556,2.099300341841016,2.1533618327095447,0.999908320948326
Prot850,2.41320917576662,2.329976864438643,2.476022291337362,1.3843290282405007,2.1508843399457813,0.9990972176687533
