"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6385",527,720,565.744,826.904,416,395,454.084,516.815,322,357,357.312,453.207,363,194,364.756,190.824,491,527,543.412,580.423,974,898,1168.708,1017.728,1141,1216,1325.032,1335.768,1117,1035,1228.26,1129.042,768,808,789.064,818.953,620,1015,655.072,1097.238
"6387",50,46,49.92,46.003,10,0,9.984,0,23,0,23.088,0,36,0,35.984,0,28,47,28.08,46.898,22,49,22.048,49.046,28,37,27.872,37.053,11,0,11.024,0,0,0,0,0,0,0,0,0
"6389",30,0,30.03,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,34.97,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6401",704,817,1039.826,1278.208,566,502,726.958,629.118,491,470,690.15,599.16,641,402,745.362,639.104,1078,821,1205.462,1008.586,988,1245,1233.068,1477.928,1377,1298,1490.724,1597.76,1069,878,1159.452,1018.572,469,589,533.716,728.978,359,953,386.484,998.6
"6403",633,287,653.952,311.022,162,101,163.488,100.872,109,141,110.04,140.1,163,170,176.064,184.932,352,280,389.856,297.012,469,407,490.464,431.508,408,473,421.296,484.746,409,450,415.008,448.32,142,192,141.48,190.536,184,202,185.496,212.952
"6405",901,1122,1118.544,1287.968,579,624,745.696,746.436,575,572,705.748,673.256,648,632,772.328,687.892,1172,1342,1438.128,1419.692,1356,1499,1584.604,1712.412,2125,2193,2330.3,2341.76,1968,2510,2010.716,2561.3,1339,1642,1331.6,1697.776,1206,1456,1278.336,1507.508
"6409",16,15,15.873,14.95,63,17,63.063,17.043,0,5,0,5.083,31,36,30.888,35.88,25,0,24.882,0,40,50,40.326,49.933,138,65,155.727,64.883,49,53,48.906,52.923,49,45,48.906,45.149,0,13,0,12.857
"6410",1370,1414,1555.506,1627.48,732,1010,996.732,1178.52,876,849,1419.588,940.01,786,564,1162.854,603.29,1074,864,1646.118,1010.16,1648,1572,2280.402,1823.9,2080,2227,2491.83,2441.22,1682,1779,1902.852,1908.08,879,1030,891.018,1066.28,720,1386,755.1,1431.06
"6412",265,233,265.049,242.363,88,95,87.654,94.141,122,46,121.046,46.069,97,46,100.176,46.069,84,119,91.828,118.177,302,255,319.311,254.381,383,367,386.095,366.549,327,334,327.659,344.516,188,143,200.352,176.264,183,310,183.656,308.462
"6413",813,570,950.456,590.295,352,424,353.21,434.24,311,396,321.1,393.53,325,331,327.522,332.465,531,389,584.402,508.875,913,987,995.41,1004.18,1056,1272,1085.318,1282.365,888,1027,911.924,1051.675,563,666,571.558,664.93,312,520,314.678,522.445
"6414",0,0,0,0,0,0,0,0,62,0,62.109,0,146,0,145.848,0,0,0,0,0,0,0,0,0,9,10,8.961,10.004,83,93,83.121,93.086,9,0,8.961,0,0,19,0,19.032
"6415",1132,878,1185.666,916.799,594,549,592.833,614.003,571,591,592.833,588.77,498,400,568.47,420.55,728,854,739.011,942.032,1242,1168,1266.876,1211.184,1359,1642,1413.054,1699.022,904,876,942.036,883.155,494,591,487.26,588.77,346,542,349.203,538.304
"6416",590,645,706.888,769.772,385,336,435.008,384.886,400,250,448.602,290.48,229,241,244.692,268.694,861,697,1005.956,762.51,747,853,870.016,973.108,894,1187,1026.347,1278.112,1096,891,1148.693,1038.466,260,448,333.053,479.292,547,917,577.745,1016.68
"6417",250,251,267.672,260.832,106,102,126.792,102.96,107,60,108.008,59.488,60,78,61.048,146.432,146,242,291.152,242.528,203,234,286.456,292.864,374,387,382.724,386.672,433,456,457.86,469.04,205,167,204.276,167.024,163,161,162.012,162.448
"6418",354,736,682.34,844.544,397,245,450.72,356.292,247,221,413.16,217.734,354,358,438.2,521.242,652,601,945.26,785.162,711,767,901.44,936.916,884,683,951.52,804.956,610,680,707.38,804.956,413,457,450.72,494.85,298,783,300.48,824.75
"6419",304,261,392.28,327.543,229,161,274.596,197.823,217,126,232.099,152.421,132,183,130.76,181.608,62,96,75.187,94.047,500,465,513.233,583.74,504,474,552.461,486.45,521,619,536.116,616.17,363,346,362.859,343.758,194,235,192.871,249.711
"6420",215,279,262.875,292.236,191,73,212.403,72.03,141,115,155.622,183.162,75,59,75.708,59.682,103,125,119.871,164.64,268,358,269.184,403.368,416,356,439.527,444.528,286,203,334.377,230.496,130,93,130.386,92.61,107,115,107.253,113.19
"6422",473,264,578.592,288.288,426,330,444.768,329.472,193,238,224.352,236.808,198,113,212.544,116.688,241,246,240.096,295.152,430,493,444.768,511.368,736,676,771.456,693.264,469,391,468.384,394.68,290,278,322.752,277.992,226,279,228.288,284.856
"6423",301,233,300.69,231.564,200,204,200.46,203.877,157,121,174.76,120.816,78,54,100.23,52.857,145,210,159.34,211.428,375,440,375.22,442.992,439,485,449.75,485.781,434,410,436.9,420.339,242,209,244.15,208.911,128,138,125.93,138.435
